sgPartido,qtdParlamentares,vlrLiquido
AVANTE,13,2455812.15
CIDADANIA,8,2705676.46
DEM,56,11569217.06
MDB,63,14873559.45
NOVO,9,812409.46
PATRI,5,161737.83
PATRIOTA,5,1826612.08
PCdoB,14,3692042.54
PDT,38,11844459.11
PHS,6,180055.49
PL,43,15503225.01
PODE,24,4229434.91
PP,70,17147214.75
PPL,1,44925.75
PPS,9,218419.43
PR,41,1218771.7
PRB,21,621097.18
PROS,17,4221926.77
PSB,46,11065083.29
PSC,17,3442297.1
PSD,55,15024173.79
PSDB,65,13030423.57
PSL,60,16958220.37
PSOL,12,3939705.05
PT,79,24111259.37
PTB,27,5075640.98
PV,7,1153103.03
REDE,3,341035.71
REPUBLICANOS,34,12275547.23
SOLIDARIEDADE,20,5942272.99
